EmployeeID,Name,Gender,Age,Department,JobRole,Experience,Salary,Attendance,PerformanceRating,Promoted,TrainingHours,Attrition,JoiningDate
EMP1000,Employee 1,Male,37,Finance,Lead,1,178240,89.8,3.0,No,76,No,2017-10-30
EMP1001,Employee 2,Female,29,Marketing,Associate,13,95119,77.6,5.0,No,53,No,2022-02-02
EMP1002,Employee 3,Female,53,Marketing,Senior Manager,3,63714,76.6,3.0,No,35,No,2020-08-02
EMP1003,Employee 4,Female,40,Operations,Senior Manager,15,80419,84.7,3.0,No,0,No,2022-09-04
EMP1004,Employee 5,Male,33,Operations,Manager,20,130432,92.1,5.0,No,14,No,2015-10-01
EMP1005,Employee 6,Male,48, sales ,Manager,19,117949,85.8,5.0,No,76,No,2017-08-13
EMP1006,Employee 7,Male,49, sales ,Senior Manager,13,158533,71.0,4.0,No,16,No,2022-04-01
EMP1007,Employee 8,Female,33, sales ,Associate,14,170363,96.1,4.0,No,23,No,2019-11-15
EMP1008,Employee 9,Female,55, sales ,Senior Manager,2,101971,71.9,3.0,No,57,No,2016-01-16
EMP1009,Employee 10,Female,26,HR,Associate,7,118471,98.7,3.0,No,71,Yes,2018-09-14
EMP1010,Employee 11,Male,38,Finance,Manager,15,89946,70.8,1.0,No,22,No,2016-04-23
EMP1011,Employee 12,Female,25,Engineering,Executive,9,123989,90.8,1.0,No,45,No,2020-08-24
EMP1012,Employee 13,Female,45,Operations,Lead,3,109080,72.5,4.0,Yes,71,Yes,2016-05-30
EMP1013,Employee 14,Male,22,Finance,Manager,17,102794,97.3,4.0,No,7,Yes,2015-07-10
EMP1014,Employee 15,Male,30,Sales,Manager,1,55841,83.9,1.0,No,58,No,2018-04-06
EMP1015,Employee 16,Male,50,Engineering,Senior Executive,16,-5000,74.1,1.0,No,58,No,2024-11-01
EMP1016,Employee 17,Male,25,Operations,Senior Executive,12,145029,150.0,2.0,No,12,No,2022-04-22
EMP1017,Employee 18,Male,53,HR,Senior Executive,3,101272,74.9,2.0,No,38,No,2018-03-06
EMP1018,Employee 19,Male,21,Operations,Lead,24,62643,75.1,1.0,Yes,27,No,2021-01-10
EMP1019,Employee 20,Male,38,IT,Senior Executive,10,68950,98.4,2.0,No,60,No,2018-11-12
EMP1020,Employee 21,Female,52,Sales,Associate,6,125500,83.4,5.0,No,15,No,2023-12-25
EMP1021,Employee 22,Male,31,Engineering,Senior Manager,11,150588,93.7,4.0,No,1,No,2015-09-29
EMP1022,Employee 23,Male,41,HR,Executive,9,40997,89.2,4.0,No,16,No,2015-05-23
EMP1023,Employee 24,Male,46,Sales,Manager,6,104751,90.3,1.0,No,29,No,2025-01-30
EMP1024,Employee 25,Male,45,Operations,Associate,12,123605,74.0,3.0,No,12,No,2020-03-27
EMP1025,Employee 26,Female,42,Sales,Executive,6,179983,77.0,1.0,No,12,Yes,2017-12-28
EMP1026,Employee 27,Male,47,Engineering,Associate,23,80533,93.6,2.0,Yes,42,No,2021-04-13
EMP1027,Employee 28,Male,33,Marketing,Associate,16,107566,99.1,3.0,No,20,Yes,2024-02-15
EMP1028,Employee 29,Female,53,Sales,Manager,9,170643,77.9,2.0,No,54,No,2017-02-26
EMP1029,Employee 30,Male,54,IT,Senior Manager,9,133255,78.1,5.0,No,39,Yes,2020-10-27
EMP1030,Employee 31,Female,55,Sales,Senior Executive,23,83005,84.2,,No,14,Yes,2019-08-09
EMP1031,Employee 32,Male,21,Operations,Lead,3,68541,99.5,,No,72,No,2016-09-14
EMP1032,Employee 33,Male,41,Operations,Senior Manager,19,48387,78.1,,Yes,51,No,2025-01-24
EMP1033,Employee 34,Female,26,HR,Lead,3,118980,82.2,,No,73,No,2022-01-16
EMP1034,Employee 35,Female,48,Operations,Manager,21,110457,96.7,2.0,No,52,Yes,2022-09-20
EMP1035,Employee 36,Female,37,Finance,Manager,6,169129,70.1,5.0,No,51,Yes,2017-07-26
EMP1036,Employee 37,Male,25,Engineering,Manager,21,89028,71.2,3.0,Yes,29,No,2025-02-09
